order_date,orders,customers,revenue,units,returns,aov,return_rate
2025-01-01,27,27,139872.07,48,6,5180.447037037037,0.2222222222222222
2025-01-02,20,20,83053.66,28,4,4152.683,0.2
2025-01-03,24,24,105187.49,37,3,4382.812083333333,0.125
2025-01-04,19,19,74981.93,29,1,3946.4173684210523,0.05263157894736842
2025-01-05,21,21,72543.22,30,7,3454.439047619048,0.3333333333333333
2025-01-06,19,19,76529.75,33,3,4027.8815789473683,0.15789473684210525
2025-01-07,14,14,56939.28,20,3,4067.0914285714284,0.21428571428571427
2025-01-08,27,27,137421.18,36,4,5089.673333333333,0.14814814814814814
2025-01-09,25,25,129100.32,31,2,5164.0128,0.08
2025-01-10,31,31,144978.98,46,3,4676.741290322581,0.0967741935483871
2025-01-11,18,18,122356.31,28,2,6797.572777777777,0.1111111111111111
2025-01-12,24,24,106624.2,35,0,4442.675,0.0
2025-01-13,34,33,227690.61,46,1,6696.782647058823,0.029411764705882353
2025-01-14,26,26,133152.32,42,2,5121.243076923077,0.07692307692307693
2025-01-15,24,24,92817.85,30,3,3867.410416666667,0.125
2025-01-16,35,35,180691.28,48,5,5162.608,0.14285714285714285
2025-01-17,36,36,228768.36000000002,55,2,6354.676666666667,0.05555555555555555
2025-01-18,28,27,140815.35,36,5,5029.119642857143,0.17857142857142858
2025-01-19,32,32,151566.66999999998,40,2,4736.4584374999995,0.0625
2025-01-20,17,17,54863.27,22,1,3227.2511764705882,0.058823529411764705
2025-01-21,25,25,136478.85,35,3,5459.154,0.12
2025-01-22,17,17,64481.37,29,0,3793.0217647058826,0.0
2025-01-23,31,31,135286.57,42,3,4364.082903225807,0.0967741935483871
2025-01-24,23,23,147230.81,32,3,6401.339565217391,0.13043478260869565
2025-01-25,22,22,86064.04000000001,28,4,3912.0018181818186,0.18181818181818182
2025-01-26,22,22,114520.86,35,2,5205.493636363636,0.09090909090909091
2025-01-27,28,28,169706.35,42,4,6060.941071428571,0.14285714285714285
2025-01-28,28,28,119670.31,33,3,4273.939642857143,0.10714285714285714
2025-01-29,24,24,125557.88,35,2,5231.578333333334,0.08333333333333333
2025-01-30,26,26,96201.06999999999,34,3,3700.0411538461535,0.11538461538461539
