order_date,orders,customers,revenue,units,returns,aov,return_rate,rolling_7d_revenue,rolling_30d_revenue,anomaly_flag,is_anomaly
2025-01-01,27,27,139872.07,48,6,5180.447037037037,0.2222222222222222,139872.07,139872.07,1,0
2025-01-02,20,20,83053.66,28,4,4152.683,0.2,111462.865,111462.865,1,0
2025-01-03,24,24,105187.49,37,3,4382.812083333333,0.125,109371.07333333335,109371.07333333335,1,0
2025-01-04,19,19,74981.93,29,1,3946.417368421052,0.0526315789473684,100773.7875,100773.7875,1,0
2025-01-05,21,21,72543.22,30,7,3454.439047619048,0.3333333333333333,95127.674,95127.674,-1,1
2025-01-06,19,19,76529.75,33,3,4027.881578947368,0.1578947368421052,92028.02,92028.02,1,0
2025-01-07,14,14,56939.28,20,3,4067.091428571429,0.2142857142857142,87015.34285714287,87015.34285714287,-1,1
2025-01-08,27,27,137421.18,36,4,5089.673333333333,0.1481481481481481,86665.21571428572,93316.07250000001,1,0
2025-01-09,25,25,129100.32,31,2,5164.0128,0.08,93243.30999999998,97292.1,1,0
2025-01-10,31,31,144978.98,46,3,4676.741290322581,0.0967741935483871,98927.80857142857,102060.788,1,0
2025-01-11,18,18,122356.31,28,2,6797.572777777777,0.1111111111111111,105695.57714285715,103905.83545454545,1,0
2025-01-12,24,24,106624.2,35,0,4442.675,0.0,110564.28857142858,104132.36583333334,1,0
2025-01-13,34,33,227690.61,46,1,6696.782647058823,0.0294117647058823,132158.69714285713,113636.84615384616,1,0
2025-01-14,26,26,133152.32,42,2,5121.243076923077,0.0769230769230769,143046.2742857143,115030.80857142857,1,0
2025-01-15,24,24,92817.85,30,3,3867.410416666667,0.125,136674.37,113549.94466666666,1,0
2025-01-16,35,35,180691.28,48,5,5162.608,0.1428571428571428,144044.50714285715,117746.278125,1,0
2025-01-17,36,36,228768.36,55,2,6354.676666666667,0.0555555555555555,156014.41857142857,124276.98882352942,1,0
2025-01-18,28,27,140815.35,36,5,5029.119642857143,0.1785714285714285,158651.42428571428,125195.78666666668,1,0
2025-01-19,32,32,151566.66999999998,40,2,4736.4584374999995,0.0625,165071.77714285714,126583.72789473685,1,0
2025-01-20,17,17,54863.27,22,1,3227.251176470588,0.0588235294117647,140382.15714285715,122997.705,1,0
2025-01-21,25,25,136478.85,35,3,5459.154,0.12,140857.3757142857,123639.6642857143,1,0
2025-01-22,17,17,64481.37,29,0,3793.0217647058826,0.0,136809.30714285714,120950.6509090909,1,0
2025-01-23,31,31,135286.57,42,3,4364.082903225807,0.0967741935483871,130322.92,121573.95173913044,1,0
2025-01-24,23,23,147230.81,32,3,6401.339565217391,0.1304347826086956,118674.69857142857,122642.9875,1,0
2025-01-25,22,22,86064.04000000001,28,4,3912.001818181818,0.1818181818181818,110853.08285714287,121179.82960000001,1,0
2025-01-26,22,22,114520.86,35,2,5205.493636363636,0.0909090909090909,105560.82428571429,120923.71538461538,1,0
2025-01-27,28,28,169706.35,42,4,6060.941071428571,0.1428571428571428,121966.97857142857,122730.47962962964,1,0
2025-01-28,28,28,119670.31,33,3,4273.939642857143,0.1071428571428571,119565.75857142858,122621.18785714285,1,0
2025-01-29,24,24,125557.88,35,2,5231.578333333334,0.0833333333333333,128290.9742857143,122722.45310344828,1,0
2025-01-30,26,26,96201.07,34,3,3700.0411538461535,0.1153846153846153,122707.33142857144,121838.40699999999,1,0
2025-01-31,35,34,198799.09,52,5,5679.974,0.1428571428571428,130074.22857142857,123802.641,1,0
2025-02-01,29,29,120381.51,40,6,4151.086551724138,0.2068965517241379,134976.7242857143,125046.90266666668,1,0
2025-02-02,21,21,74809.3,30,3,3562.347619047619,0.1428571428571428,129303.64428571428,124034.29633333332,1,0
2025-02-03,29,29,106658.87,43,2,3677.892068965517,0.0689655172413793,120296.86142857143,125090.19433333333,1,0
2025-02-04,21,21,138417.2,28,3,6591.295238095238,0.1428571428571428,122974.98857142856,127285.99366666666,1,0
2025-02-05,25,25,140582.63999999998,38,7,5623.3056,0.28,125121.38285714286,129421.09,-1,1
2025-02-06,16,16,129816.03,22,2,8113.501875,0.125,129923.52,131850.315,1,0
2025-02-07,24,23,112102.44,41,3,4670.935,0.125,117538.28428571428,131006.357,1,0
2025-02-08,25,25,132050.27,38,2,5282.0108,0.08,119205.25,131104.68866666668,1,0
2025-02-09,19,19,85730.58,26,1,4512.135789473684,0.0526315789473684,120765.43285714285,129129.74200000001,1,0
2025-02-10,20,20,120321.63,27,5,6016.081499999999,0.25,122717.2557142857,129061.91933333334,1,0
2025-02-11,28,28,152660.8,44,3,5452.171428571428,0.1071428571428571,124752.05571428571,130596.47266666665,1,0
2025-02-12,25,25,187242.07,44,1,7489.6828,0.04,131417.6885714286,129248.18800000001,1,0
2025-02-13,31,31,171655.66,52,2,5537.27935483871,0.064516129032258,137394.77857142856,130531.63266666667,1,0
2025-02-14,19,19,61920.61,27,3,3258.9794736842105,0.1578947368421052,130225.94571428571,129501.72466666668,1,0
2025-02-15,28,28,156899.75,43,1,5603.5625,0.0357142857142857,133775.87142857144,128708.67366666667,1,0
2025-02-16,30,30,166673.87,44,3,5555.795666666667,0.1,145339.1985714286,126638.85733333332,1,0
2025-02-17,21,21,104801.46,27,4,4990.545714285714,0.1904761904761904,143122.03142857144,125438.39433333333,1,0
2025-02-18,18,18,131467.41,26,1,7303.745,0.0555555555555555,140094.4042857143,124768.419,1,0
2025-02-19,26,26,122156.32,40,4,4698.32,0.1538461538461538,130796.43999999999,127011.52066666666,1,0
2025-02-20,25,25,140859.59,38,2,5634.3836,0.08,126397.00142857143,127157.54533333333,1,0
2025-02-21,35,35,167071.81,53,3,4773.480285714286,0.0857142857142857,141418.60142857145,130577.22666666667,1,0
2025-02-22,23,23,94805.79,26,2,4121.9908695652175,0.0869565217391304,132548.0357142857,129227.86733333333,1,0
2025-02-23,19,19,80432.7,25,0,4233.3,0.0,120227.86857142857,127001.26366666665,1,0
2025-02-24,29,29,109578.76,41,0,3778.5779310344833,0.0,120910.34,127785.08766666667,1,0
2025-02-25,20,20,117480.96,32,1,5874.048,0.05,118912.2757142857,127883.75766666667,1,0
2025-02-26,30,30,118826.79,42,5,3960.893,0.1666666666666666,118436.62857142858,126187.77233333333,1,0
2025-02-27,22,22,76594.95,28,2,3481.5886363636364,0.0909090909090909,109255.96571428572,124751.927,1,0
2025-02-28,28,27,155407.28,40,1,5550.26,0.0357142857142857,107589.60428571429,125746.90699999999,1,0
2025-03-01,28,28,114744.29,37,3,4098.010357142857,0.1071428571428571,110437.96142857142,126365.01433333334,1,0
2025-03-02,26,25,122123.19,36,1,4697.045769230769,0.0384615384615384,116393.74571428572,123809.15100000001,1,0
2025-03-03,27,26,117589.83,31,4,4355.178888888889,0.1481481481481481,117538.18428571428,123716.095,1,0
2025-03-04,25,25,130369.1,38,4,5214.764,0.16,119379.34714285714,125568.08833333335,1,0
2025-03-05,13,13,66024.85,17,0,5078.834615384616,0.0,111836.21285714286,124213.621,-1,1
2025-03-06,26,26,112663.89,33,1,4333.226538461538,0.0384615384615384,116988.91857142858,123355.17733333333,1,0
2025-03-07,31,31,116641.03,47,3,3762.613870967742,0.0967741935483871,111450.88285714285,122557.12366666667,1,0
2025-03-08,32,31,169981.44,48,1,5311.92,0.03125,119341.90428571429,123895.97066666668,1,0
2025-03-09,30,30,179503.89,39,2,5983.463000000001,0.0666666666666666,127539.14714285715,126142.68566666666,1,0
2025-03-10,28,28,126835.39,41,5,4529.835357142857,0.1785714285714285,128859.94142857144,125968.85633333333,1,0
2025-03-11,23,23,112680.25,32,0,4899.141304347826,0.0,126332.96285714286,126867.17866666666,1,0
2025-03-12,24,24,132315.44,35,1,5513.143333333333,0.0416666666666666,135803.04714285716,127266.97233333332,1,0
2025-03-13,24,24,115707.7,33,3,4821.154166666666,0.125,136237.87714285715,126035.20233333335,1,0
2025-03-14,22,22,71746.74,28,4,3261.2154545454546,0.1818181818181818,129824.40714285716,122185.358,1,0
2025-03-15,31,31,187935.45,50,2,6062.433870967742,0.064516129032258,132389.26571428572,122728.01766666668,1,0
2025-03-16,25,25,131630.02,34,2,5265.2008,0.08,125550.14142857143,125051.66466666666,1,0
2025-03-17,22,22,77662.59,28,3,3530.1177272727273,0.1363636363636363,118525.45571428571,122410.42599999999,1,0
2025-03-18,40,40,218623.89,52,2,5465.597250000001,0.05,133660.26142857145,124142.09333333334,-1,1
