month,revenue,orders,customers,aov
2025-01,3853951.3,782,677,4928.326470588235
2025-02,3477407.05,686,604,5069.106486880466
2025-03,4029388.48,809,685,4980.702694684796
2025-04,3688383.6,716,636,5151.37374301676
2025-05,3573899.11,734,641,4869.072356948229
2025-06,3491472.42,738,630,4730.9924390243905
2025-07,3772564.17,713,612,5291.113842917251
2025-08,3867356.02,775,660,4990.1368
2025-09,3807379.82,781,677,4875.006171574903
2025-10,3917956.89,764,651,5128.21582460733
2025-11,3708082.23,697,600,5320.060588235294
2025-12,3945529.16,738,642,5346.2454742547425
2026-01,4001611.0,763,659,5244.575360419397
2026-02,3408868.43,670,593,5087.863328358209
2026-03,3783068.03,739,645,5119.171894451962
2026-04,4019255.12,780,675,5152.891179487179
2026-05,3774891.57,722,620,5228.381675900277
2026-06,3707071.39,731,630,5071.233091655267
2026-07,4087059.62,805,694,5077.092695652174
2026-08,3908581.63,811,710,4819.459469790382
2026-09,231416.81,46,46,5030.800217391305
