customer_id,recency,frequency,monetary,r_score,f_score,m_score,segment
C00001,396,4,22477.09,1,1,2,Regular
C00002,169,7,25259.61,1,4,3,At Risk
C00003,66,5,40186.25,3,2,4,Regular
C00004,129,10,52511.79,2,5,5,At Risk
C00005,56,7,34429.61,3,4,4,Loyal
C00006,49,6,28104.04,4,3,3,Loyal
C00007,10,5,38324.009999999995,5,2,4,New / Promising
C00008,48,6,53254.02,4,3,5,Loyal
C00009,116,5,32378.17,2,2,4,Regular
C00010,25,6,44427.11,4,3,4,Loyal
C00011,45,5,10830.16,4,2,1,New / Promising
C00012,27,4,10455.29,4,1,1,New / Promising
C00013,57,5,26212.69,3,2,3,Regular
C00014,63,6,20538.03,3,3,2,Loyal
C00015,96,4,8747.03,2,1,1,Regular
C00016,153,6,23261.53,2,3,3,At Risk
C00017,87,5,23018.41,3,2,3,Regular
C00018,24,6,26908.41,4,3,3,Loyal
C00019,4,7,27030.190000000002,5,4,3,Champions
C00020,137,2,5900.5199999999995,2,1,1,Regular
C00021,326,6,27439.57,1,3,3,At Risk
C00022,63,6,32455.11,3,3,4,Loyal
C00023,50,4,26205.34,3,1,3,Regular
C00024,202,5,13638.69,1,2,1,Regular
C00025,232,6,22359.32,1,3,2,At Risk
C00026,292,4,27611.54,1,1,3,Regular
C00027,21,12,46095.66,5,5,5,Champions
C00028,115,2,6801.5,2,1,1,Regular
C00029,133,7,68510.67,2,4,5,At Risk
C00030,26,9,76919.41,4,5,5,Champions
C00031,25,7,30929.03,4,4,3,Champions
C00032,41,7,25074.1,4,4,3,Champions
C00033,69,10,52220.85,3,5,5,Loyal
C00034,144,7,20578.5,2,4,2,At Risk
C00035,203,3,17928.57,1,1,2,Regular
C00036,33,6,21449.52,4,3,2,Loyal
C00037,149,6,32843.5,2,3,4,At Risk
C00038,179,5,15655.81,1,2,2,Regular
C00039,328,2,10164.7,1,1,1,Regular
C00040,51,5,17897.54,3,2,2,Regular
C00041,42,13,40587.270000000004,4,5,4,Champions
C00042,13,7,46459.3,5,4,5,Champions
C00043,28,4,12580.029999999999,4,1,1,New / Promising
C00044,200,8,27486.39,1,4,3,At Risk
C00045,8,4,18174.03,5,1,2,New / Promising
C00046,28,11,58806.94,4,5,5,Champions
C00047,47,5,11774.17,4,2,1,New / Promising
C00048,8,9,57985.93,5,5,5,Champions
C00049,102,7,25626.929999999997,2,4,3,At Risk
C00050,109,5,43898.42,2,2,4,Regular
C00051,21,12,38272.68,5,5,4,Champions
C00052,62,5,10336.08,3,2,1,Regular
C00053,37,12,82268.63,4,5,5,Champions
C00054,178,5,28858.93,1,2,3,Regular
C00055,145,7,26025.77,2,4,3,At Risk
C00056,369,2,7632.72,1,1,1,Regular
C00057,51,3,9765.07,3,1,1,Regular
C00058,165,7,17208.04,1,4,2,At Risk
C00059,83,4,48233.7,3,1,5,Regular
C00060,311,5,10239.55,1,2,1,Regular
C00061,71,3,21587.89,3,1,2,Regular
C00062,1,4,45483.3,5,1,5,New / Promising
C00063,2,8,32307.59,5,4,4,Champions
C00064,238,6,30606.879999999997,1,3,3,At Risk
C00065,70,7,16591.53,3,4,2,Loyal
C00066,22,11,72239.48999999999,5,5,5,Champions
C00067,524,1,4719.06,1,1,1,Regular
C00068,42,7,40866.18,4,4,4,Champions
C00069,44,8,47507.66,4,4,5,Champions
C00070,89,9,54137.6,2,5,5,At Risk
C00071,49,6,48917.29,3,3,5,Loyal
C00072,172,6,27316.03,1,3,3,At Risk
C00073,19,6,28526.78,5,3,3,Loyal
C00074,13,7,12639.65,5,4,1,Champions
C00075,10,6,30768.33,5,3,3,Loyal
C00076,80,7,36282.82,3,4,4,Loyal
C00077,33,8,29238.57,4,4,3,Champions
C00078,17,5,25226.97,5,2,3,New / Promising
C00079,285,3,17559.42,1,1,2,Regular
C00080,147,11,37200.07,2,5,4,At Risk
C00081,33,6,15311.119999999999,4,3,2,Loyal
C00082,168,9,29079.8,1,5,3,At Risk
C00083,18,9,32308.41,5,5,4,Champions
C00084,5,5,19353.58,5,2,2,New / Promising
C00085,83,3,14818.4,3,1,1,Regular
C00086,243,4,11573.710000000001,1,1,1,Regular
C00087,86,7,31798.68,3,4,4,Loyal
C00088,157,3,13122.6,1,1,1,Regular
C00089,71,3,9331.56,3,1,1,Regular
C00090,124,5,23823.47,2,2,3,Regular
C00091,196,6,33517.62,1,3,4,At Risk
C00092,29,5,20513.44,4,2,2,New / Promising
C00093,170,7,15174.2,1,4,2,At Risk
C00094,159,8,37610.88,1,4,4,At Risk
C00095,44,5,25116.14,4,2,3,New / Promising
C00096,136,10,32548.98,2,5,4,At Risk
C00097,24,5,10193.85,4,2,1,New / Promising
C00098,224,3,15400.57,1,1,2,Regular
C00099,188,5,43112.600000000006,1,2,4,Regular
C00100,403,5,22461.370000000003,1,2,2,Regular
C00101,260,4,10874.560000000001,1,1,1,Regular
C00102,177,5,23184.16,1,2,3,Regular
C00103,28,6,24283.32,4,3,3,Loyal
C00104,203,5,11978.52,1,2,1,Regular
C00105,36,8,33845.24,4,4,4,Champions
C00106,11,6,20030.989999999998,5,3,2,Loyal
C00107,64,8,58602.0,3,4,5,Loyal
C00108,54,7,25443.73,3,4,3,Loyal
C00109,6,6,16161.11,5,3,2,Loyal
C00110,121,4,20069.57,2,1,2,Regular
C00111,52,6,51023.25,3,3,5,Loyal
C00112,43,10,72131.97,4,5,5,Champions
C00113,36,5,40287.42,4,2,4,New / Promising
C00114,41,4,7630.01,4,1,1,New / Promising
C00115,90,5,25186.47,2,2,3,Regular
C00116,21,10,44258.62,5,5,4,Champions
C00117,206,7,20535.059999999998,1,4,2,At Risk
C00118,116,4,1954.91,2,1,1,Regular
C00119,130,7,23471.41,2,4,3,At Risk
C00120,152,5,18234.11,2,2,2,Regular
C00121,53,6,18030.89,3,3,2,Loyal
