customer_id,segment,city,signup_date
C00001,Consumer,Mumbai,2024-02-20
C00002,Home Office,Mumbai,2024-03-11
C00003,Corporate,Pune,2025-04-24
C00004,Consumer,Delhi NCR,2025-07-13
C00005,Consumer,Hyderabad,2024-01-19
C00006,Consumer,Hyderabad,2024-03-24
C00007,Consumer,Mumbai,2024-06-03
C00008,Corporate,Bengaluru,2025-07-18
C00009,Consumer,Mumbai,2025-09-10
C00010,Corporate,Delhi NCR,2024-12-22
C00011,Consumer,Hyderabad,2025-10-08
C00012,Home Office,Delhi NCR,2025-03-18
C00013,Corporate,Bengaluru,2024-03-09
C00014,Consumer,Pune,2025-06-06
C00015,Consumer,Chennai,2024-05-22
C00016,Consumer,Delhi NCR,2024-07-10
C00017,Consumer,Hyderabad,2025-01-21
C00018,Consumer,Bengaluru,2025-01-12
C00019,Consumer,Chennai,2025-08-03
C00020,Consumer,Chennai,2025-06-18
C00021,Consumer,Chennai,2025-11-23
C00022,Consumer,Hyderabad,2024-10-19
C00023,Consumer,Bengaluru,2024-01-09
C00024,Consumer,Bengaluru,2024-09-27
C00025,Consumer,Mumbai,2025-01-21
C00026,Corporate,Hyderabad,2024-04-02
C00027,Consumer,Hyderabad,2025-06-12
C00028,Consumer,Delhi NCR,2024-06-02
C00029,Consumer,Hyderabad,2025-02-08
C00030,Consumer,Delhi NCR,2024-05-28
C00031,Consumer,Chennai,2024-09-23
C00032,Consumer,Mumbai,2025-02-25
C00033,Consumer,Bengaluru,2025-09-09
C00034,Home Office,Hyderabad,2025-04-16
C00035,Home Office,Chennai,2025-06-30
C00036,Corporate,Mumbai,2025-09-22
C00037,Consumer,Mumbai,2025-06-09
C00038,Consumer,Hyderabad,2025-05-17
C00039,Corporate,Mumbai,2024-01-14
C00040,Consumer,Mumbai,2025-10-13
C00041,Consumer,Chennai,2024-12-29
C00042,Consumer,Mumbai,2024-04-28
C00043,Consumer,Mumbai,2024-08-25
C00044,Home Office,Pune,2025-06-29
C00045,Consumer,Hyderabad,2024-06-17
C00046,Consumer,Pune,2025-06-05
C00047,Consumer,Hyderabad,2025-09-25
C00048,Consumer,Bengaluru,2025-10-18
C00049,Consumer,Bengaluru,2025-05-30
C00050,Consumer,Hyderabad,2025-01-31
C00051,Home Office,Bengaluru,2024-04-15
C00052,Corporate,Hyderabad,2024-03-25
C00053,Home Office,Mumbai,2024-08-01
C00054,Home Office,Delhi NCR,2024-04-30
C00055,Consumer,Hyderabad,2024-05-11
C00056,Home Office,Delhi NCR,2024-07-15
C00057,Consumer,Pune,2024-01-19
C00058,Consumer,Bengaluru,2025-10-03
C00059,Consumer,Hyderabad,2024-01-12
C00060,Consumer,Pune,2024-03-21
C00061,Consumer,Mumbai,2024-11-25
C00062,Consumer,Chennai,2025-01-26
C00063,Corporate,Hyderabad,2025-09-28
C00064,Consumer,Hyderabad,2024-11-02
C00065,Consumer,Bengaluru,2024-09-23
C00066,Consumer,Bengaluru,2025-03-22
C00067,Consumer,Hyderabad,2025-03-16
C00068,Corporate,Bengaluru,2025-10-13
C00069,Consumer,Mumbai,2024-01-02
C00070,Home Office,Delhi NCR,2025-06-03
C00071,Corporate,Bengaluru,2025-10-12
C00072,Consumer,Delhi NCR,2025-09-27
C00073,Consumer,Bengaluru,2024-11-04
C00074,Corporate,Bengaluru,2025-06-05
C00075,Corporate,Hyderabad,2025-04-13
C00076,Corporate,Chennai,2024-07-30
C00077,Corporate,Delhi NCR,2024-04-21
C00078,Consumer,Pune,2024-01-08
C00079,Consumer,Bengaluru,2025-04-21
C00080,Consumer,Chennai,2025-04-04
C00081,Corporate,Hyderabad,2024-09-09
C00082,Consumer,Delhi NCR,2025-06-09
C00083,Consumer,Pune,2025-03-13
