order_id,order_date,customer_id,product_id,category,quantity,unit_price,discount_pct,channel,ab_group,returned,gross_revenue,net_revenue,shipping_days,rating
O000001,2025-01-01,C01370,P012,Beauty,1,1799,0.072,App,control,0,1799,1669.47,3,5
O000002,2025-01-01,C00966,P005,Home & Office,1,13999,0.14,App,variant,1,13999,0.0,4,3
O000003,2025-01-01,C00200,P003,Electronics,2,3499,0.165,Marketplace,variant,1,6998,0.0,5,2
O000004,2025-01-01,C01994,P007,Fashion,2,3299,0.145,Web,control,0,6598,5641.29,2,3
O000005,2025-01-01,C01738,P006,Home & Office,2,4599,0.039,App,variant,1,9198,0.0,3,3
O000006,2025-01-01,C01107,P008,Fashion,4,1899,0.2,Web,control,1,7596,0.0,4,3
O000007,2025-01-01,C00288,P008,Fashion,3,1899,0.014,App,control,0,5697,5617.24,4,4
O000008,2025-01-01,C02446,P010,Home & Office,1,1599,0.126,Web,variant,0,1599,1397.53,2,4
O000009,2025-01-01,C01048,P011,Beauty,1,1299,0.153,App,variant,0,1299,1100.25,1,4
O000010,2025-01-01,C01298,P006,Home & Office,1,4599,0.208,Marketplace,control,0,4599,3642.41,4,4
O000011,2025-01-01,C00503,P007,Fashion,1,3299,0.144,Web,variant,0,3299,2823.94,4,5
O000012,2025-01-01,C01910,P003,Electronics,3,3499,0.038,Web,control,0,10497,10098.11,4,4
O000013,2025-01-01,C00795,P004,Home & Office,1,8999,0.139,App,control,0,8999,7748.14,2,5
O000014,2025-01-01,C01348,P007,Fashion,2,3299,0.076,Web,variant,0,6598,6096.55,3,5
O000015,2025-01-01,C01155,P006,Home & Office,1,4599,0.15,App,variant,1,4599,0.0,4,2
O000016,2025-01-01,C00195,P003,Electronics,3,3499,0.095,Marketplace,control,0,10497,9499.78,1,4
O000017,2025-01-01,C00839,P010,Home & Office,2,1599,0.17,App,control,0,3198,2654.34,2,4
O000018,2025-01-01,C01243,P007,Fashion,1,3299,0.086,Web,variant,0,3299,3015.29,6,3
O000019,2025-01-01,C01662,P003,Electronics,1,3499,0.14,App,control,0,3499,3009.14,2,4
O000020,2025-01-01,C00899,P010,Home & Office,2,1599,0.047,App,control,0,3198,3047.69,2,3
O000021,2025-01-01,C00461,P008,Fashion,3,1899,0.155,App,control,1,5697,0.0,4,4
O000022,2025-01-01,C02174,P007,Fashion,2,3299,0.0,App,variant,0,6598,6598.0,6,4
O000023,2025-01-01,C01197,P004,Home & Office,2,8999,0.126,App,control,0,17998,15730.25,7,4
O000024,2025-01-01,C01676,P001,Electronics,1,2499,0.106,Web,control,0,2499,2234.11,5,5
O000025,2025-01-01,C00702,P006,Home & Office,1,4599,0.093,Marketplace,variant,0,4599,4171.29,4,4
O000026,2025-01-01,C00787,P005,Home & Office,3,13999,0.0,Web,control,0,41997,41997.0,6,2
O000027,2025-01-01,C01454,P009,Electronics,1,2199,0.054,Web,control,0,2199,2080.25,3,4
O000028,2025-01-02,C02142,P010,Home & Office,1,1599,0.156,Web,variant,0,1599,1349.56,3,3
O000029,2025-01-02,C00630,P006,Home & Office,1,4599,0.033,App,variant,0,4599,4447.23,4,4
O000030,2025-01-02,C01388,P001,Electronics,1,2499,0.0,Web,variant,0,2499,2499.0,3,5
O000031,2025-01-02,C01916,P003,Electronics,1,3499,0.019,App,variant,0,3499,3432.52,3,4
O000032,2025-01-02,C00991,P002,Electronics,1,4999,0.155,App,variant,1,4999,0.0,3,3
O000033,2025-01-02,C02001,P003,Electronics,1,3499,0.111,App,control,0,3499,3110.61,4,5
O000034,2025-01-02,C00220,P001,Electronics,1,2499,0.169,Web,control,1,2499,0.0,6,4
O000035,2025-01-02,C00745,P011,Beauty,2,1299,0.126,App,variant,0,2598,2270.65,7,4
O000036,2025-01-02,C00068,P002,Electronics,4,4999,0.032,Web,control,0,19996,19356.13,4,4
O000037,2025-01-02,C01671,P008,Fashion,1,1899,0.194,App,variant,0,1899,1530.59,1,4
O000038,2025-01-02,C00400,P003,Electronics,1,3499,0.047,Web,control,1,3499,0.0,3,3
O000039,2025-01-02,C01114,P009,Electronics,2,2199,0.034,App,control,1,4398,0.0,2,3
O000040,2025-01-02,C01172,P011,Beauty,1,1299,0.099,App,control,0,1299,1170.4,4,5
O000041,2025-01-02,C00132,P011,Beauty,1,1299,0.109,App,variant,0,1299,1157.41,3,5
O000042,2025-01-02,C00096,P004,Home & Office,1,8999,0.134,App,variant,0,8999,7793.13,5,3
O000043,2025-01-02,C01737,P002,Electronics,1,4999,0.064,Web,variant,0,4999,4679.06,4,3
O000044,2025-01-02,C00899,P012,Beauty,1,1799,0.168,App,control,0,1799,1496.77,2,4
O000045,2025-01-02,C01725,P007,Fashion,4,3299,0.045,Web,variant,0,13196,12602.18,2,4
O000046,2025-01-02,C00629,P009,Electronics,1,2199,0.018,App,control,0,2199,2159.42,2,4
O000047,2025-01-02,C02419,P005,Home & Office,1,13999,0.0,Web,control,0,13999,13999.0,5,4
O000048,2025-01-03,C00109,P001,Electronics,1,2499,0.07,App,variant,0,2499,2324.07,3,4
O000049,2025-01-03,C00373,P009,Electronics,2,2199,0.134,App,control,0,4398,3808.67,3,4
O000050,2025-01-03,C00642,P009,Electronics,2,2199,0.127,App,control,0,4398,3839.45,3,4
O000051,2025-01-03,C01221,P007,Fashion,1,3299,0.102,App,control,1,3299,0.0,4,2
O000052,2025-01-03,C01550,P001,Electronics,1,2499,0.055,App,variant,0,2499,2361.55,1,4
O000053,2025-01-03,C00045,P004,Home & Office,1,8999,0.158,Web,variant,0,8999,7577.16,3,4
O000054,2025-01-03,C01738,P001,Electronics,1,2499,0.088,App,variant,0,2499,2279.09,2,4
O000055,2025-01-03,C01281,P003,Electronics,1,3499,0.107,App,control,0,3499,3124.61,1,4
