session_id,session_date,channel,device,product_view,add_to_cart,checkout,purchase
S0000001,2026-03-29,Paid Search,Mobile,1,0,0,0
S0000002,2026-09-02,Organic,Mobile,1,0,0,0
S0000003,2026-06-29,Social,Mobile,0,0,0,0
S0000004,2026-02-23,Organic,Mobile,1,1,0,0
S0000005,2025-05-27,Paid Search,Mobile,1,1,1,0
S0000006,2025-07-07,Social,Mobile,1,1,1,1
S0000007,2026-05-10,Social,Mobile,1,0,0,0
S0000008,2026-02-12,Paid Search,Mobile,0,0,0,0
S0000009,2025-04-05,Direct,Desktop,1,0,0,0
S0000010,2025-05-27,Organic,Mobile,0,0,0,0
S0000011,2026-04-26,Direct,Desktop,0,0,0,0
S0000012,2025-08-05,Email,Mobile,0,0,0,0
S0000013,2025-01-02,Organic,Tablet,0,0,0,0
S0000014,2025-02-01,Paid Search,Mobile,0,0,0,0
S0000015,2025-08-24,Organic,Mobile,1,1,1,0
S0000016,2025-02-07,Organic,Mobile,1,1,1,1
S0000017,2026-01-19,Organic,Desktop,0,0,0,0
S0000018,2025-11-25,Social,Desktop,1,0,0,0
S0000019,2025-12-21,Paid Search,Mobile,1,0,0,0
S0000020,2026-05-24,Direct,Mobile,1,0,0,0
S0000021,2025-02-20,Social,Mobile,1,0,0,0
S0000022,2025-02-14,Email,Mobile,0,0,0,0
S0000023,2025-06-24,Social,Mobile,1,1,1,1
S0000024,2025-02-09,Email,Mobile,0,0,0,0
S0000025,2025-10-26,Direct,Mobile,1,0,0,0
S0000026,2026-05-19,Email,Desktop,1,1,0,0
S0000027,2025-09-26,Paid Search,Mobile,1,0,0,0
S0000028,2025-08-19,Email,Desktop,1,0,0,0
S0000029,2026-04-15,Social,Mobile,1,0,0,0
S0000030,2025-05-05,Organic,Mobile,1,0,0,0
S0000031,2025-02-20,Organic,Mobile,0,0,0,0
S0000032,2026-01-31,Paid Search,Mobile,1,0,0,0
S0000033,2025-05-27,Social,Desktop,1,0,0,0
S0000034,2026-06-10,Social,Desktop,0,0,0,0
S0000035,2026-02-26,Paid Search,Mobile,1,0,0,0
S0000036,2026-06-30,Paid Search,Mobile,0,0,0,0
S0000037,2025-10-26,Social,Mobile,1,1,0,0
S0000038,2025-11-27,Organic,Mobile,1,0,0,0
S0000039,2025-05-20,Paid Search,Mobile,0,0,0,0
S0000040,2026-04-15,Organic,Mobile,1,0,0,0
S0000041,2025-12-24,Paid Search,Mobile,0,0,0,0
S0000042,2025-11-15,Paid Search,Mobile,0,0,0,0
S0000043,2025-09-10,Direct,Mobile,1,0,0,0
S0000044,2026-08-19,Direct,Mobile,0,0,0,0
S0000045,2025-10-19,Social,Mobile,0,0,0,0
S0000046,2026-04-29,Organic,Mobile,1,0,0,0
S0000047,2025-02-07,Organic,Mobile,0,0,0,0
S0000048,2025-12-19,Paid Search,Mobile,1,0,0,0
S0000049,2026-03-21,Direct,Mobile,1,1,0,0
S0000050,2025-06-02,Direct,Mobile,1,0,0,0
S0000051,2026-01-12,Paid Search,Mobile,1,0,0,0
S0000052,2026-06-11,Paid Search,Desktop,0,0,0,0
S0000053,2026-01-16,Paid Search,Mobile,0,0,0,0
S0000054,2026-01-03,Social,Mobile,0,0,0,0
S0000055,2026-08-05,Direct,Mobile,1,1,1,1
S0000056,2026-06-06,Email,Mobile,1,0,0,0
S0000057,2026-04-20,Direct,Mobile,1,0,0,0
S0000058,2025-12-18,Social,Desktop,0,0,0,0
S0000059,2025-02-14,Email,Desktop,1,1,1,0
S0000060,2025-01-04,Paid Search,Desktop,0,0,0,0
S0000061,2025-12-23,Social,Desktop,1,0,0,0
S0000062,2025-01-19,Organic,Mobile,0,0,0,0
S0000063,2026-06-27,Email,Mobile,0,0,0,0
S0000064,2025-08-06,Paid Search,Mobile,0,0,0,0
S0000065,2025-12-25,Organic,Mobile,0,0,0,0
S0000066,2026-05-17,Paid Search,Mobile,1,0,0,0
S0000067,2025-09-13,Paid Search,Mobile,1,0,0,0
S0000068,2025-12-22,Email,Mobile,1,1,0,0
S0000069,2026-06-08,Organic,Desktop,1,1,1,0
S0000070,2025-08-11,Email,Mobile,1,1,0,0
S0000071,2026-06-17,Paid Search,Mobile,1,0,0,0
S0000072,2025-08-19,Direct,Mobile,0,0,0,0
S0000073,2025-02-18,Paid Search,Mobile,1,1,0,0
S0000074,2025-12-25,Organic,Mobile,1,1,1,1
S0000075,2025-08-25,Direct,Mobile,0,0,0,0
S0000076,2025-11-28,Organic,Mobile,1,0,0,0
S0000077,2026-07-30,Direct,Mobile,1,1,0,0
S0000078,2026-03-24,Organic,Mobile,1,1,1,0
S0000079,2026-01-12,Organic,Mobile,1,0,0,0
S0000080,2026-06-19,Social,Mobile,1,0,0,0
S0000081,2025-03-21,Direct,Mobile,1,0,0,0
S0000082,2026-02-18,Direct,Mobile,0,0,0,0
S0000083,2026-04-13,Social,Tablet,0,0,0,0
S0000084,2025-03-06,Paid Search,Mobile,1,0,0,0
S0000085,2025-05-22,Paid Search,Mobile,1,1,1,1
S0000086,2026-06-10,Social,Tablet,1,0,0,0
S0000087,2025-02-07,Paid Search,Mobile,0,0,0,0
S0000088,2025-04-01,Direct,Mobile,0,0,0,0
S0000089,2025-11-15,Social,Desktop,1,1,1,1
S0000090,2026-01-02,Direct,Mobile,1,0,0,0
S0000091,2025-09-15,Organic,Mobile,1,0,0,0
S0000092,2025-03-09,Email,Desktop,1,0,0,0
S0000093,2025-12-26,Paid Search,Mobile,1,1,1,1
S0000094,2026-03-14,Paid Search,Desktop,1,0,0,0
S0000095,2025-07-17,Paid Search,Mobile,1,1,0,0
S0000096,2025-03-13,Social,Mobile,1,0,0,0
S0000097,2025-09-23,Social,Desktop,1,0,0,0
S0000098,2026-08-24,Paid Search,Mobile,0,0,0,0
S0000099,2026-04-09,Social,Mobile,1,1,1,0
S0000100,2025-03-03,Paid Search,Mobile,1,0,0,0
S0000101,2025-09-21,Social,Desktop,0,0,0,0
S0000102,2025-12-23,Organic,Tablet,0,0,0,0
S0000103,2025-12-04,Organic,Mobile,1,0,0,0
S0000104,2025-07-09,Email,Mobile,1,1,1,1
S0000105,2025-03-09,Organic,Desktop,1,1,1,0
S0000106,2025-01-23,Email,Mobile,1,0,0,0
S0000107,2026-08-22,Organic,Mobile,1,0,0,0
S0000108,2025-11-07,Paid Search,Mobile,1,1,0,0
S0000109,2026-01-04,Social,Mobile,1,1,1,1
S0000110,2025-09-25,Direct,Tablet,1,0,0,0
S0000111,2025-05-09,Email,Mobile,1,0,0,0
S0000112,2026-05-24,Paid Search,Mobile,1,1,0,0
S0000113,2025-01-24,Social,Mobile,0,0,0,0
S0000114,2026-03-21,Direct,Desktop,0,0,0,0
S0000115,2026-04-08,Paid Search,Desktop,1,0,0,0
S0000116,2026-05-08,Organic,Tablet,0,0,0,0
S0000117,2026-01-31,Organic,Mobile,1,1,1,1
S0000118,2026-04-21,Social,Mobile,1,0,0,0
S0000119,2025-06-15,Organic,Desktop,1,0,0,0
S0000120,2025-03-16,Paid Search,Mobile,1,0,0,0
S0000121,2025-08-16,Direct,Mobile,1,1,1,1
S0000122,2026-05-27,Paid Search,Desktop,1,0,0,0
S0000123,2025-10-11,Organic,Mobile,0,0,0,0
S0000124,2026-07-09,Organic,Mobile,1,0,0,0
S0000125,2026-08-24,Email,Desktop,0,0,0,0
S0000126,2025-07-23,Paid Search,Mobile,0,0,0,0
S0000127,2025-12-23,Social,Mobile,1,0,0,0
S0000128,2026-08-19,Email,Desktop,0,0,0,0
S0000129,2025-02-26,Paid Search,Mobile,0,0,0,0
S0000130,2025-12-02,Paid Search,Mobile,1,1,0,0
S0000131,2026-07-11,Organic,Mobile,1,1,0,0
S0000132,2026-01-01,Email,Tablet,0,0,0,0
S0000133,2026-03-01,Organic,Mobile,1,0,0,0
S0000134,2026-07-01,Direct,Mobile,1,1,0,0
S0000135,2025-12-25,Direct,Mobile,1,0,0,0
S0000136,2026-08-15,Paid Search,Mobile,1,0,0,0
S0000137,2026-08-08,Organic,Tablet,1,0,0,0
S0000138,2026-05-24,Organic,Mobile,0,0,0,0
S0000139,2025-07-11,Organic,Mobile,1,0,0,0
S0000140,2025-10-29,Paid Search,Desktop,1,0,0,0
S0000141,2026-04-23,Direct,Mobile,0,0,0,0
S0000142,2025-03-06,Paid Search,Mobile,1,0,0,0
S0000143,2026-07-28,Direct,Desktop,1,0,0,0
S0000144,2025-09-06,Direct,Mobile,1,0,0,0
S0000145,2026-04-03,Social,Mobile,1,0,0,0
S0000146,2026-05-26,Direct,Desktop,1,0,0,0
S0000147,2025-03-02,Email,Mobile,1,0,0,0
S0000148,2026-07-14,Direct,Mobile,0,0,0,0
S0000149,2025-05-05,Paid Search,Desktop,0,0,0,0
S0000150,2026-03-28,Paid Search,Desktop,1,0,0,0
S0000151,2025-09-17,Social,Mobile,1,0,0,0
S0000152,2025-03-14,Direct,Mobile,1,1,1,0
S0000153,2025-04-07,Social,Mobile,1,0,0,0
S0000154,2026-06-09,Paid Search,Mobile,1,1,0,0
S0000155,2026-04-04,Social,Mobile,1,0,0,0
S0000156,2026-07-03,Paid Search,Mobile,1,0,0,0
S0000157,2025-12-21,Social,Mobile,1,0,0,0
S0000158,2026-02-28,Paid Search,Mobile,1,1,1,1
S0000159,2025-11-02,Social,Mobile,1,0,0,0
S0000160,2025-11-01,Organic,Mobile,0,0,0,0
S0000161,2025-04-29,Direct,Desktop,1,0,0,0
S0000162,2026-02-18,Social,Mobile,0,0,0,0
S0000163,2025-03-11,Direct,Mobile,0,0,0,0
S0000164,2025-04-22,Direct,Mobile,0,0,0,0
S0000165,2025-05-11,Paid Search,Desktop,1,1,1,1
S0000166,2026-04-22,Organic,Mobile,0,0,0,0
S0000167,2025-07-04,Organic,Mobile,1,0,0,0
S0000168,2026-07-11,Organic,Mobile,1,1,1,1
S0000169,2025-03-13,Organic,Mobile,1,0,0,0
S0000170,2025-10-11,Paid Search,Desktop,1,0,0,0
S0000171,2026-03-21,Organic,Mobile,0,0,0,0
S0000172,2025-07-23,Organic,Mobile,1,0,0,0
S0000173,2025-04-22,Email,Mobile,0,0,0,0
S0000174,2026-07-04,Organic,Mobile,0,0,0,0
S0000175,2025-07-11,Paid Search,Mobile,0,0,0,0
S0000176,2025-09-13,Organic,Mobile,0,0,0,0
S0000177,2026-07-15,Organic,Desktop,1,0,0,0
S0000178,2025-02-15,Paid Search,Mobile,0,0,0,0
S0000179,2025-04-24,Email,Mobile,1,0,0,0
S0000180,2025-02-25,Organic,Mobile,1,1,1,1
S0000181,2025-10-25,Organic,Mobile,1,0,0,0
S0000182,2025-11-27,Social,Desktop,1,0,0,0
S0000183,2025-01-19,Direct,Mobile,1,1,1,1
S0000184,2026-06-11,Paid Search,Mobile,1,1,1,0
S0000185,2026-02-21,Paid Search,Mobile,0,0,0,0
S0000186,2026-03-21,Social,Mobile,1,0,0,0
S0000187,2026-08-31,Paid Search,Mobile,1,0,0,0
S0000188,2025-12-07,Email,Mobile,1,0,0,0
S0000189,2026-05-19,Organic,Desktop,1,1,1,1
S0000190,2025-09-14,Direct,Mobile,1,1,1,1
S0000191,2026-01-12,Email,Mobile,1,1,1,1
S0000192,2026-08-05,Email,Mobile,1,0,0,0
S0000193,2026-05-11,Social,Desktop,0,0,0,0
S0000194,2026-01-26,Social,Tablet,1,1,1,1
S0000195,2025-05-06,Direct,Mobile,0,0,0,0
S0000196,2026-06-12,Social,Mobile,0,0,0,0
S0000197,2026-01-05,Social,Mobile,1,0,0,0
S0000198,2026-09-02,Organic,Mobile,0,0,0,0
S0000199,2025-09-06,Organic,Mobile,1,0,0,0
S0000200,2025-06-18,Direct,Desktop,1,1,1,1
S0000201,2025-05-03,Direct,Mobile,1,1,0,0
S0000202,2025-10-20,Paid Search,Mobile,0,0,0,0
S0000203,2025-03-04,Paid Search,Mobile,1,0,0,0
S0000204,2025-09-23,Paid Search,Desktop,0,0,0,0
S0000205,2026-05-18,Social,Mobile,1,0,0,0
S0000206,2025-01-27,Email,Mobile,1,1,1,0
S0000207,2026-06-19,Paid Search,Mobile,1,0,0,0
S0000208,2025-05-10,Social,Desktop,1,1,0,0
S0000209,2026-01-28,Paid Search,Desktop,1,0,0,0
S0000210,2026-02-25,Direct,Mobile,0,0,0,0
S0000211,2026-01-09,Organic,Desktop,1,1,1,1
S0000212,2026-01-04,Direct,Mobile,0,0,0,0
S0000213,2025-11-20,Paid Search,Mobile,1,0,0,0
S0000214,2026-04-25,Organic,Mobile,0,0,0,0
S0000215,2026-04-14,Organic,Desktop,1,1,1,0
S0000216,2025-07-29,Organic,Mobile,1,0,0,0
S0000217,2025-06-03,Social,Mobile,0,0,0,0
S0000218,2025-11-01,Organic,Desktop,1,0,0,0
S0000219,2025-04-18,Social,Desktop,0,0,0,0
S0000220,2026-05-14,Organic,Mobile,1,0,0,0
S0000221,2025-12-07,Social,Tablet,1,0,0,0
S0000222,2025-04-24,Paid Search,Mobile,1,0,0,0
S0000223,2026-08-01,Email,Mobile,1,0,0,0
S0000224,2026-07-18,Organic,Mobile,1,1,0,0
S0000225,2026-04-24,Email,Mobile,1,1,0,0
S0000226,2025-01-03,Direct,Desktop,1,0,0,0
S0000227,2025-01-22,Organic,Tablet,1,0,0,0
S0000228,2026-03-23,Organic,Mobile,1,1,0,0
S0000229,2025-01-17,Organic,Mobile,0,0,0,0
S0000230,2025-09-21,Organic,Mobile,0,0,0,0
S0000231,2025-06-11,Paid Search,Mobile,1,0,0,0
S0000232,2025-11-17,Direct,Mobile,1,1,1,0
S0000233,2025-05-22,Paid Search,Mobile,1,0,0,0
S0000234,2026-07-12,Direct,Desktop,1,0,0,0
S0000235,2026-05-30,Paid Search,Mobile,0,0,0,0
S0000236,2025-02-10,Direct,Mobile,0,0,0,0
S0000237,2025-06-22,Direct,Mobile,1,0,0,0
S0000238,2026-04-03,Social,Mobile,1,0,0,0
S0000239,2025-01-26,Email,Mobile,1,0,0,0
S0000240,2026-07-09,Paid Search,Mobile,1,0,0,0
S0000241,2025-10-23,Organic,Mobile,0,0,0,0
S0000242,2025-11-26,Organic,Desktop,1,0,0,0
